episode,reward,epsilon,buffer_size,steps,score,avg_loss
32,-50.39332117181591,0.8305882352941176,7394,178,0,0.32971610544006
33,-50.67388667316066,0.8252941176470588,7614,221,0,0.30692216349680995
34,-50.48743373773061,0.82,7833,220,0,0.26295508426317776
35,-50.89205205618225,0.8147058823529412,8106,274,0,0.3273117742535439
36,-50.72528812503719,0.8094117647058824,8397,292,0,0.2537649592579253
37,-50.51035842810468,0.8041176470588235,8580,184,0,0.2481899730122203
38,-50.647471533185325,0.7988235294117647,8789,210,0,0.30163243966615905
39,-50.29802504053468,0.7935294117647058,8952,164,0,0.2795378148453537
40,-50.52998755790403,0.788235294117647,9133,182,0,0.3285838394994951
41,-50.53516619095703,0.7829411764705883,9326,194,0,0.401019188958647
42,-50.987502289679405,0.7776470588235294,9609,284,0,0.2712143770628937
43,-50.678992576444045,0.7723529411764706,9871,263,0,0.2825849806889892
44,-50.42842594187685,0.7670588235294118,10044,174,0,0.42524679588810116
45,-51.47336498407711,0.7617647058823529,10423,380,0,0.3034723144051857
46,-50.4718169359267,0.7564705882352941,10600,178,0,0.24905770520886614
47,-50.89902524216627,0.7511764705882353,10906,307,0,0.33032846597243887
48,-50.59451390819763,0.7458823529411764,11087,182,0,0.29679286456925585
49,-50.633667980796275,0.7405882352941177,11268,182,0,0.29469867123154236
50,-50.47493978012105,0.7352941176470589,11506,239,0,0.24627352011058543
51,-50.35308684468255,0.73,11667,162,0,0.2884661130665336
52,-50.670678996564114,0.7247058823529411,11960,294,0,0.22235286759520956
53,-50.547409364668944,0.7194117647058824,12131,172,0,0.2836303632440312
54,-51.551778434382584,0.7141176470588235,12483,353,0,0.3045572403802494
55,-51.338548380942065,0.7088235294117646,12869,387,0,0.3079179321828577
56,-50.76292401760668,0.703529411764706,13123,255,0,0.2972254446367659
57,-51.20469610405265,0.6982352941176471,13437,315,0,0.29181545022639294
58,-50.63575281153736,0.6929411764705882,13624,188,0,0.3118321559827854
59,-50.55287367703235,0.6876470588235294,13864,241,0,0.2717300784774125
60,-50.75796381582461,0.6823529411764706,14063,200,0,0.22859840862909142
61,-50.45854378438328,0.6770588235294117,14226,164,0,0.29219501888629323
62,-50.431832011170165,0.6717647058823529,14401,176,0,0.2370270744537596
63,-50.43690071888828,0.6664705882352941,14568,168,0,0.28954851154481903
64,-50.90368634238882,0.6611764705882353,14827,260,0,0.2884020554338349
65,-50.475184064158825,0.6558823529411765,14990,164,0,0.20308847645888242
66,-50.61218169989446,0.6505882352941177,15175,186,0,0.29998870538142713
67,-50.54389166186593,0.6452941176470588,15350,176,0,0.3064561390466141
68,-50.63466246259362,0.6399999999999999,15604,255,0,0.241264289488754
69,-50.414666023327314,0.6347058823529412,15783,180,0,0.23988957475045358
70,-50.30519408106923,0.6294117647058823,15948,166,0,0.30752953134721056
71,-51.62384344468523,0.6241176470588236,16447,500,0,0.3061099875973718
72,-51.58778421406687,0.6188235294117648,17008,562,0,0.29719183342498295
73,-50.477287453784115,0.6135294117647059,17181,174,0,0.3289724683259116
74,-51.40383186435564,0.608235294117647,17589,409,0,0.22035595170660494
75,-51.10104912655293,0.6029411764705883,17864,276,0,0.3358912886882984
76,-50.59974366418322,0.5976470588235294,18088,225,0,0.27281890945908216
77,-50.436792710643765,0.5923529411764705,18273,186,0,0.3001498827892963
78,-50.38702270468846,0.5870588235294117,18434,162,0,0.28751128406147475
79,-50.45672840703224,0.581764705882353,18601,168,0,0.295951013852443
80,-51.45751415998862,0.5764705882352941,18989,389,0,0.28921136320520613
81,-50.81580532728671,0.5711764705882353,19269,281,0,0.3375597921033789
82,-50.6785019436026,0.5658823529411765,19516,248,0,0.29563576152788534
83,-51.09160982003973,0.5605882352941176,19864,349,0,0.2947408919886354
84,-50.43017855995657,0.5552941176470587,20108,245,0,0.3056271849352805
85,-50.70486123177515,0.55,20356,249,0,0.26821556127059365
86,-50.39683536529323,0.5447058823529412,20525,170,0,0.2909172972985765
87,-51.16696018327216,0.5394117647058824,20931,407,0,0.2782688828687746
88,-50.51813031293688,0.5341176470588236,21156,226,0,0.2998906310623218
89,-51.40990852863054,0.5288235294117647,21563,408,0,0.28768337809360855
90,-51.9090431055031,0.5235294117647059,22079,517,0,0.23920970789857152
91,-51.097575772639914,0.518235294117647,22460,382,0,0.25271748707746156
92,-50.45577671104495,0.5129411764705882,22680,221,0,0.31751060192896563
93,-51.98282227162794,0.5076470588235293,23509,830,0,0.2546066539294586
94,-50.93415835126167,0.5023529411764706,23860,352,0,0.25786270753649826
95,-50.326347125915206,0.4970588235294118,24023,164,0,0.24836907462449745
96,-50.50771289808017,0.4917647058823529,24196,174,0,0.2522536644881422
97,-50.938214829536626,0.4864705882352941,24574,379,0,0.22348801248726693
98,-51.689739023256664,0.4811764705882353,25090,517,0,0.2533968600314544
99,-50.486095454293825,0.4758823529411764,25267,178,0,0.2539918713525615
100,-50.69422748687843,0.47058823529411764,25535,269,0,0.21553293319502428
101,-50.448917913330675,0.46529411764705875,25700,166,0,0.24274736660577
102,-50.699249440083186,0.45999999999999996,25930,231,0,0.242271057166682
103,-50.73150239262747,0.4547058823529412,26216,287,0,0.2788355387488587
104,-51.255310201944795,0.4494117647058823,26694,479,0,0.25891674543190907
105,-50.4422954709924,0.4441176470588235,26865,172,0,0.2074989616697611
106,-51.88013519312781,0.4388235294117647,27419,555,0,0.27563091139376594
107,-52.42986273701152,0.43352941176470594,28115,697,0,0.23375096921166727
108,-52.64153210328252,0.42823529411764705,28830,716,0,0.23488894674677255
109,-51.89969344741611,0.42294117647058815,29500,671,0,0.21851813330570058
110,-50.89007645155253,0.41764705882352937,29760,261,0,0.2102060172133721
111,-52.254536500060404,0.4123529411764706,30611,852,0,0.22653385071206908
112,-50.87699739469615,0.4070588235294118,30962,352,0,0.2432300999379632
113,-52.50754345401691,0.4017647058823529,31774,813,0,0.23651628330203112
114,-51.52643373111978,0.396470588235294,32343,570,0,0.2326494262547193
115,-54.1811689793918,0.39117647058823535,33755,1413,0,0.22731477272942155
116,-52.211032640615365,0.38588235294117645,34595,841,0,0.20880220836649338
117,-52.37265302591838,0.38058823529411767,35314,720,0,0.2422242037822596
118,-54.009266010605614,0.3752941176470588,36683,1370,0,0.23417689089734128
119,56.571526972573466,0.37,38332,1650,112,0.23442857320923313
120,-51.44761747797071,0.3647058823529412,38867,536,0,0.2408190351119615
121,61.34894478223109,0.3594117647058823,41864,2998,121,0.22855975177884102
